nombre,hex,tipo,clase,familia,aliases
# clase=base  -> color primitivo; admite modificadores (claro/oscuro/pastel/...) via colores_modifiers.csv
# clase=lex   -> compuesto lexicalizado; hex curado, NO se le aplican modificadores (gana sobre el motor)
# tipo=especial -> sin hex plano (transparente/patron); derive_colores marca para imagen de patron, no escribe html_color
# Fuente: reconciliacion contra reports/color_values_20260706.csv (204 valores reales). Ver colores_noncolor.md
Blanco,#FFFFFF,flat,base,Blanco,blanco|white|bco
Negro,#000000,flat,base,Negro,negro|black|ngo
Gris,#808080,flat,base,Gris,gris|gray|grey
Plata,#C0C0C0,metalico,base,Metalico,plata|plateado|silver
Rojo,#E30613,flat,base,Rojo,rojo|red|rjo
Rosa,#EC4899,flat,base,Rosa,rosa|pink
Naranja,#F7941E,flat,base,Naranja,naranja|orange|anaranjado
Amarillo,#FFD400,flat,base,Amarillo,amarillo|yellow
Verde,#009640,flat,base,Verde,verde|green
Azul,#0057B8,flat,base,Azul,azul|blue
Morado,#6B21A8,flat,base,Morado,morado|purple|purpura
Violeta,#7C3AED,flat,base,Morado,violeta|violet
Lila,#C8A2C8,flat,base,Morado,lila|lavanda|lavender
Cafe,#6F4E37,flat,base,Cafe,cafe|marron|brown|chocolate
Beige,#E8D9B5,flat,base,Beige,beige
Vino,#6E1423,flat,base,Rojo,vino|tinto|guinda|burdeos|burgundy|wine
Coral,#FF6F61,flat,base,Rojo,coral
Salmon,#FA8072,flat,base,Rosa,salmon
Durazno,#FFCBA4,flat,base,Naranja,durazno|peach
Mostaza,#C9A227,flat,base,Amarillo,mostaza|mustard
Turquesa,#30D5C8,flat,base,Azul,turquesa|turquoise
Uva,#4B0082,flat,base,Morado,uva|indigo|anil
Camel,#C19A6B,flat,base,Cafe,camel|camello|tabaco
Oro,#D4AF37,metalico,base,Metalico,oro|dorado|gold
Cobre,#B87333,metalico,base,Metalico,cobre|copper
Bronce,#CD7F32,metalico,base,Metalico,bronce|bronze
Kraft,#C8A97E,flat,base,Beige,kraft
Natural,#D9C7A3,flat,base,Beige,natural
Agave,#7BA05B,flat,base,Verde,agave
Azul Marino,#1B264F,flat,lex,Azul,azul marino|marino|navy|azul naval
Azul Rey,#0033A0,flat,lex,Azul,azul rey|royal|azul royal
Azul Cielo,#87CEEB,flat,lex,Azul,azul cielo|cielo|sky|celeste
Azul Cobalto,#0047AB,flat,lex,Azul,azul cobalto|cobalto|cobalt
Azul Acero,#4A6274,flat,lex,Azul,azul acero|acero
Azul Aqua,#7FDBDA,flat,lex,Azul,azul aqua|aqua
Verde Limon,#9ACD32,flat,lex,Verde,verde limon|verde lima|limon|lima|lime
Verde Menta,#A8E6CE,flat,lex,Verde,verde menta|menta|mint
Verde Agua,#7FDBDA,flat,lex,Verde,verde agua|verde aqua
Verde Esmeralda,#046A38,flat,lex,Verde,verde esmeralda|esmeralda|emerald
Verde Cian,#00B7C3,flat,lex,Verde,verde cian|cian|cyan
Verde Turquesa,#1AA6A0,flat,lex,Verde,verde turquesa
Verde Bandera,#007A33,flat,lex,Verde,verde bandera|verde mexico
Verde Militar,#4B5320,flat,lex,Verde,verde militar|militar|olivo|verde olivo|olive
Verde Bosque,#14532D,flat,lex,Verde,verde bosque|forest
Verde Pistacho,#B7C68B,flat,lex,Verde,verde pistacho|pistacho|pistache
Rosa Mexicano,#E4007C,flat,lex,Rosa,rosa mexicano|magenta|fucsia|fuchsia
Rosa Malva,#B784A7,flat,lex,Rosa,rosa malva|malva|mauve
Gris Oxford,#4B4F54,flat,lex,Gris,gris oxford|oxford|marengo|gris marengo
Gris Humo,#6D6E71,flat,lex,Gris,gris humo|humo|smoke
Oro Rosa,#B76E79,metalico,lex,Metalico,oro rosa|rose gold|rosa oro
Gunmetal,#2C3539,metalico,lex,Metalico,gunmetal|titanio|titanium
Hueso,#EFE8D8,flat,lex,Beige,hueso|marfil|ivory|blanco ivory
Cafe Bronce,#7A5230,flat,lex,Cafe,cafe bronce
Beige Rosado,#E8C4B8,flat,lex,Beige,beige rosado
Transparente,,especial,base,,transparente|cristal|clear
Multicolor,,especial,base,Multicolor,multicolor|surtido|varios|arcoiris|rainbow|mix|tricolor|mexico
Bicolor,,especial,base,Multicolor,bicolor|dos tonos
